sl.noo,Id,depth.surf,Fluro.surf,Temp.surf,Sali.surf,Oxy.surf,depth.scm,Fluro.scm,Temp.scm,Sali.scm,Oxy.scm,scmmodes,month,Date,swr,wind,a,b,c,sigma.surf,sigma.scm,par
1,m1,5.7,1.4308,24.697,36.498,4.519603499,7.5,1.76295,24.697,36.498,4.806822865,hp,march,01/03/13,196.7582139,0.02706,1.653409194,13.94150592,39.05195097,24.42283166,24.42283166,49.92642877
2,m10,5.7,0.4964,26.567,36.3,4.59509855,32.3,1.0877,26.459,36.394,3.463175486,p,march,02/03/13,209.0180367,0.024726667,0.847976946,35.5337602,31.39440112,23.6945805,23.79824848,50.66245132
3,m11,5.9,0.8176,25.489,36.348,4.72374175,42.8,1.0512,25.485,36.345,4.498696123,p,march,03/03/13,205.4732719,0.021676667,1.065665325,24.3925502,37.00900896,24.06854499,24.06756551,51.02217878
4,m14,5.1,0.9344,24.945,36.578,4.335847085,9.8,0.9709,24.944,36.584,4.697784614,p,march,04/03/13,202.0881041,0.02028,0.929403777,13.96924576,37.78770708,24.40642563,24.41117696,51.11357541
5,m16,5.6,0.584,28.98,36.37,4.553992135,23,1.01032,28.904,36.365,3.491257634,p,march,05/03/13,200.9163081,0.01905,0.91777049,25.93859075,29.83036426,22.95697598,22.97881482,51.42795668
6,m17,5.8,2.0659,28.54,36.516,4.710466137,6.7,2.3579,28.539,36.515,4.545766282,hp,march,10/03/13,192.0705507,0.013876667,1.906174295,12.42730775,27.42809589,23.21123785,23.21083673,51.68476577
7,m18,5.8,1.095,28.325,36.619,4.706787353,33,2.30826,28.31,36.613,4.351841799,hp,march,15/03/13,200.9519551,0.01986,1.713446963,22.2199065,25.75963909,23.35831112,23.35887711,53.1711599
8,m19,5.6,0.6059,28.372,36.571,4.679025099,32.2,2.20825,28.31,36.556,3.869372674,hp,march,01/03/13,196.7582139,0.02706,1.473626599,32.83741866,29.12898107,23.30746627,23.31700933,49.92642877
9,m2,5.5,1.33225,24.956,36.52,4.694699919,6.5,1.7009,24.956,36.52,4.672947108,hp,march,02/03/13,209.0180367,0.024726667,1.629523906,21.81146953,30.25350518,24.36008896,24.36008896,50.66245132
10,m3,5.4,1.6717,24.827,36.515,4.750338674,4.4,1.9272,24.826,36.515,4.69913274,hp,march,03/03/13,205.4732719,0.021676667,1.74599711,15.8501531,28.17565175,24.39582146,24.39612666,51.02217878
11,m4,5.1,1.0585,25.023,36.528,4.770332067,32.7,1.58921,24.95,36.533,4.17951018,hp,march,04/03/13,202.0881041,0.02028,1.458442106,19.10944885,24.71094293,24.34548072,24.37155686,51.11357541
12,m5,5.3,1.2994,25.12,36.529,4.897512893,27.5,1.58994,25.122,36.528,4.428159434,hp,march,10/03/14,192.0705507,0.013876667,1.489665506,13.69806544,18.13456406,24.31643068,24.31507518,51.68476577
13,m6,5.2,0.6205,25.57,36.477,5.010412725,22,1.5184,24.413,36.512,4.690838338,hp,march,02/03/13,209.0180367,0.024726667,1.181688834,19.97445849,18.97265158,24.13882292,24.51929178,50.66245132
14,m7,5.5,0.5694,26.086,36.539,4.681538554,22.4,2.02502,25.113,36.535,4.759318564,hp,march,03/03/13,205.4732719,0.021676667,1.876756424,24.91655566,16.73849003,24.02321851,24.32302603,51.02217878
15,m8,5.5,0.7008,25.995,36.347,4.56655941,32.1,0.86724,26.018,36.346,4.065810612,lp,march,04/03/13,202.0881041,0.02028,0.73126215,16.90642734,62.12642824,23.90998738,23.90202894,51.11357541
16,m9,5.3,0.4161,26.413,36.311,4.566559424,32.7,1.5184,25.843,36.384,4.457338363,hp,march,05/03/13,200.9163081,0.01905,1.224335475,28.1888503,22.7498532,23.75158628,23.98494565,51.42795668
1,314001.cnv,5,0.1307,26.6656,36.2766,4.34582,32,1.2945,25.6711,36.4328,4.36885,p,march,07/03/13,199.6511285,0.015106667,1.272679665,32.27545087,17.00320156,23.64592831,24.07467585,51.67622457
2,314003.cnv,5,1.1238,24.8882,36.4564,4.76311,22,4.0275,24.5336,36.4316,4.52642,hp,march,08/03/13,199.3015238,0.014183333,3.594873614,21.84755743,13.68761525,24.33370907,24.42318746,51.45449763
3,314005.cnv,5,0.7191,25.31,36.4598,4.87721,32,3.608,24.6537,36.4666,4.51493,hp,march,08/03/13,199.3015238,0.014183333,3.950396401,31.74164277,15.21541271,24.20665169,24.41271565,51.45449763
4,314006.cnv,5,0.5413,25.6163,36.5106,4.77833,21,1.6719,24.6959,36.518,4.70973,hp,march,10/03/13,192.0705507,0.013876667,1.575143431,21.4346474,16.54961878,24.14927187,24.4379925,51.68476577
6,314008.cnv,5,0.5683,25.608,36.3744,4.68152,24,0.6186,25.3135,36.3036,4.56765,p,march,10/03/13,192.0705507,0.013876667,0.780957613,23.96431322,24.41789682,24.05112826,24.08996715,51.68476577
7,314011.cnv,5,0.1225,26.5527,36.2698,4.50263,35,1.3627,25.4047,36.1942,4.0712,p,march,12/03/13,208.0418964,0.01654,1.222744389,35.09283599,7.646357949,23.67684813,23.98085118,52.6863825
8,314013.cnv,5,0.1601,25.6731,36.5233,4.62349,39,1.7199,25.0603,36.5216,4.52392,hp,march,13/03/13,204.8821891,0.017296667,1.599783821,38.81416163,14.12629029,24.14097151,24.3292938,51.44707877
9,314014.cnv,5,0.4228,25.787,36.4984,4.71867,31,1.6066,24.8382,36.4737,4.7364,hp,march,13/03/13,204.8821891,0.017296667,1.349043525,31.47475503,20.31665074,24.08701224,24.36179783,51.44707877
10,314017.cnv,5,0.4242,25.5623,36.4802,4.68413,25,1.2613,24.0593,36.4611,4.40286,p,march,14/03/13,201.9634275,0.019146667,1.252279939,24.65373627,11.71244139,24.14358298,24.58782867,52.68876056
11,314018.cnv,5,0.1665,25.6483,36.4581,4.58913,29,1.1597,24.427,36.4374,4.20615,p,march,14/03/13,201.9634275,0.019146667,0.934161685,28.6959788,13.0396476,24.10048519,24.45972271,52.68876056
12,314019.cnv,5,0.1954,25.8388,36.4374,4.69293,27,1.7217,24.5993,36.4415,4.39211,hp,march,14/03/13,201.9634275,0.019146667,1.620908391,27.10912505,11.40377609,24.02572724,24.41061855,52.68876056
13,314020.cnv,5,0.2291,25.8336,36.4503,4.64758,28,1.5611,24.8297,36.4478,4.64902,p,march,14/03/13,201.9634275,0.019146667,1.727875195,27.85034125,11.89073061,24.03688836,24.34519885,52.68876056
14,314021.cnv,5,0.1192,26.0426,36.4365,4.51922,33,1.342,24.5443,36.4666,4.39587,p,march,15/03/13,200.9519551,0.01986,1.194380609,33.38813535,12.07488705,23.96115627,24.44590302,53.1711599
15,314022.cnv,5,0.6029,26.0586,36.5824,4.70588,27,1.9815,24.5174,36.5281,4.2298,hp,march,15/03/13,200.9519551,0.01986,1.793838394,26.55803943,16.5936349,24.06390332,24.49966098,53.1711599
16,314023.cnv,5,0.4208,26.1668,36.5838,4.7902,26,1.9,24.518,36.5242,4.19802,hp,march,15/03/13,200.9519551,0.01986,1.621346879,25.74728961,15.1287771,24.0308383,24.4965868,53.1711599
17,314024.cnv,5,0.1548,25.8121,36.4511,4.61182,31,1.1693,24.4164,36.4319,4.13897,p,march,16/03/13,200.6604998,0.020613333,1.082413251,31.23813606,11.77299925,24.04420284,24.45884303,53.56081005
18,314025.cnv,5,0.1235,25.9489,36.4512,4.57392,34,1.1487,24.3589,36.4056,4.43836,p,march,16/03/13,200.6604998,0.020613333,0.981368711,34.17479445,17.29758324,24.00143878,24.4566748,53.56081005
19,314026.cnv,5,0.0493,26.9447,36.4239,4.50095,36,1.8893,25.2824,36.5315,4.6589,hp,march,16/03/13,200.6604998,0.020613333,1.722529173,35.70825742,15.93928925,23.66524236,24.26824319,53.56081005
20,314027.cnv,5,0.0455,26.9545,36.4224,4.41267,34,1.6036,25.3127,36.5277,4.65028,hp,march,16/03/13,200.6604998,0.020613333,1.478837013,34.26943642,15.08650769,23.66098987,24.25607229,53.56081005
21,314028.cnv,5,0.1684,26.1826,36.4734,4.53465,42,1.4886,25.081,36.4866,4.55866,p,march,17/03/13,200.7818827,0.0225,1.392515485,42.06327314,16.72926252,23.94432365,24.29701687,53.7781105
22,314029.cnv,5,0.2484,26.2397,36.4737,4.51411,34,1.6536,25.116,36.4531,4.34883,hp,march,17/03/13,200.7818827,0.0225,1.41501086,34.01166492,16.15076979,23.92651962,24.2614566,53.7781105
23,314030.cnv,5,1.141,26.2226,36.4871,4.47268,20,0.5961,25.9467,36.4691,4.48631,p,march,18/03/13,201.8848244,0.025346667,0.757470088,20.3345317,31.89198932,23.94181485,24.01535531,54.15267392
24,314031.cnv,5,0.521,26.2053,36.4916,4.50672,33,1.0646,25.1616,36.4045,4.14476,p,march,18/03/13,201.8848244,0.025346667,0.813532192,33.33385827,25.50610978,23.95059991,24.21145151,54.15267392
25,314032.cnv,5,0.2101,26.916,36.5111,4.46139,37,1.3895,25.0949,36.4177,4.09629,p,march,18/03/13,201.8848244,0.025346667,1.275235609,36.75683176,16.83808481,23.73872828,24.24172452,54.15267392
26,314033.cnv,5,0.0048,28.2667,35.8809,4.31847,49,0.83,27.6858,36.2208,3.83671,p,march,19/03/13,201.5750111,0.026096667,0.807318962,49.05677489,20.22959078,22.8354722,23.27584636,53.4118852
27,314034.cnv,5,0.0041,28.3683,35.8821,4.35617,53,0.925,27.5335,36.1988,3.77638,p,march,19/03/13,201.5750111,0.026096667,0.953743314,53.17704552,18.07483405,22.80280656,23.30925029,53.4118852
28,314035.cnv,5,0.0658,27.9564,35.9024,4.29259,55,0.785,26.4723,36.2302,3.85079,p,march,20/03/13,198.086243,0.026433334,0.877266687,55.43646108,27.70605352,22.95326532,23.67316058,54.48224294
29,314036.cnv,5,0.055,27.9185,35.8798,4.2797,57,0.5755,26.7523,36.2814,3.55757,p,march,20/03/13,198.086243,0.026433334,0.691224279,56.6944035,25.83807868,22.9490623,23.62180601,54.48224294